gene	length	gene_name	description	gene_biotype	D07G	D07G.floating	D13A	D13A.floating
ENSG00000215915	3976	ATAD3C	ATPase family, AAA domain containing 3C 	protein_coding	0.0795608706173089	0.270080105592937	0.177432748210392	0.280860728839021
ENSG00000160072	7682	ATAD3B	ATPase family, AAA domain containing 3B 	protein_coding	1.0301265940707	1.08206794987122	1.36587248008629	0.396689235298036
ENSG00000284740	660	AL645728.2	ATPase family, AAA domain containing 3C (ATAD3C) pseudogene	transcribed_unprocessed_pseudogene	0.17593941979087	0.91719354898763	0.324106544933518	0.258471729531374
ENSG00000197785	3069	ATAD3A	ATPase family, AAA domain containing 3A 	protein_coding	1.35712050176687	4.16159204688389	2.35217412589616	1.32218026260859
ENSG00000205090	1380	TMEM240	transmembrane protein 240 	protein_coding	0.296355467303724	0.388196271972944	0.282104510750516	0.114666703020442
ENSG00000160075	6925	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase 	protein_coding	6.63144976252889	12.1479442591435	8.91990298230413	8.81824506898703
ENSG00000215014	2349	AL645728.1	novel transcript	processed_transcript	0.292003145759886	0.603768072110583	0.550548058212682	0.468563206940379
ENSG00000228594	2085	FNDC10	fibronectin type III domain containing 10 	protein_coding	0.574354195719046	1.33900986711998	0.683059751180621	0.235282334777657
ENSG00000272106	2038	AL691432.2	artifact	antisense	0.961569456405697	1.35554912443216	1.22137661263972	1.00127143545711
ENSG00000197530	8767	MIB2	mindbomb E3 ubiquitin protein ligase 2 	protein_coding	0.430915531657869	0.525536702347566	0.511420193568432	0.112561883261913
ENSG00000248333	3488	CDK11B	cyclin dependent kinase 11B 	protein_coding	5.00902009498372	6.84151894590857	4.76218617704736	4.5351373590175
ENSG00000272004	400	FO704657.1	novel transcript, antisense to SLC35E2B	antisense	0.375447558595342	0.472996051861476	0.316361739051757	0.276567730821268
ENSG00000189339	8395	SLC35E2B	solute carrier family 35 member E2B 	protein_coding	9.6163724140325	12.4942650042322	5.45694923875127	4.60555579128192
ENSG00000008128	4701	CDK11A	cyclin dependent kinase 11A 	protein_coding	0.134786491392381	0.127421547153959	0.160456266755731	0.0548434508917491
ENSG00000268575	5079	AL031282.2	novel transcript, readthrough between SLC35E2 and CDK11A	processed_transcript	0.638959771069533	0.346852499546506	0.849274896486492	0.441880988940548
ENSG00000215790	7713	SLC35E2A	solute carrier family 35 member E2A 	protein_coding	3.70779828915427	4.15468158506315	5.95165004689992	5.30310595924482
ENSG00000008130	5570	NADK	NAD kinase 	protein_coding	7.17114759834101	16.230857572343	9.10657648589448	8.170934690214
ENSG00000078369	6417	GNB1	G protein subunit beta 1 	protein_coding	46.8632881854111	54.4984958856355	49.629445777148	50.5043128624564
ENSG00000231050	906	AL109917.1		antisense	0.128862506108585	0.376665935026873	0.144727366085771	0.157200912693005
ENSG00000169885	2321	CALML6	calmodulin like 6 	protein_coding	0.116609945932412	0.00775189632502035	0.30540034294862	0.021149774243468
ENSG00000067606	7636	PRKCZ	protein kinase C zeta 	protein_coding	0.022194517552562	0.0105560612796813	0.0326956729969619	0.0186346199544514
ENSG00000182873	1734	PRKCZ-AS1	PRKCZ antisense RNA 1 	antisense	0.14131667491293	0.0767051331772004	0.15697140236779	0.0474448371037239
ENSG00000162585	10916	FAAP20	FA core complex associated protein 20 	protein_coding	0.529856883435211	1.0585314753561	0.703599838751363	0.450375495235118
ENSG00000157933	6080	SKI	SKI proto-oncogene 	protein_coding	6.68320989477533	7.91583183533856	7.58224550289336	5.16039362913189
ENSG00000116151	11337	MORN1	MORN repeat containing 1 	protein_coding	0.193769677742121	0.214185526191422	0.216782841159145	0.148914905033019
ENSG00000269896	2407	AL513477.1		transcribed_processed_pseudogene	0.148442860891202	0.2482728987703	0.208027163461122	0.0976630744934856
ENSG00000157916	5691	RER1	retention in endoplasmic reticulum sorting receptor 1 	protein_coding	13.4239620264492	17.4283207327307	13.9556841951135	13.1005938159208
ENSG00000157911	3789	PEX10	peroxisomal biogenesis factor 10 	protein_coding	3.22326726988909	8.20391209873282	4.42711082358098	4.91670130336034
ENSG00000157881	5107	PANK4	pantothenate kinase 4 	protein_coding	0.838039896694665	2.39285192136677	1.0630427451349	1.07886312766307
ENSG00000157873	6219	TNFRSF14	TNF receptor superfamily member 14 	protein_coding	0.375741063492463	0.773492219348122	0.72163115396037	0.228389245745113
ENSG00000157870	3371	PRXL2B	peroxiredoxin like 2B 	protein_coding	0.928754149597463	3.19376210471318	1.18553828993842	1.06023184361411
ENSG00000142611	9767	PRDM16	PR/SET domain 16 	protein_coding	0.170851829893289	0.0820835831427838	0.105170834744588	0.0501219626048469
ENSG00000272235	3461	AL590438.1	novel transcript	lincRNA	0.0664932123077599	0.0103790618481288	0.0426200575395641	0.0126617479615686
ENSG00000130762	5563	ARHGEF16	Rho guanine nucleotide exchange factor 16 	protein_coding	0.0571651477685193	0.463870821148753	0.143879592859409	0.227571697761529
ENSG00000162591	7039	MEGF6	multiple EGF like domains 6 	protein_coding	0.0914694853591669	0.0383877014897308	0.460612550731321	0.0961882860758428
ENSG00000238260	622	AL513320.1	novel transcript	antisense	0.187560723452946	0.0144600639070496	0.3297139871402	0
ENSG00000158109	2414	TPRG1L	tumor protein p63 regulated 1 like 	protein_coding	13.5634316027244	30.9615818126167	18.2087252374084	19.2154914558026
ENSG00000116213	7604	WRAP73	WD repeat containing, antisense to TP73 	protein_coding	0.539733576691632	0.818890633068055	0.583143497336819	0.374381269439513
ENSG00000227372	9701	TP73-AS1	TP73 antisense RNA 1 	transcribed_unitary_pseudogene	1.4371148727016	1.8405872619896	1.68301837265209	1.13402989318034
ENSG00000130764	4516	LRRC47	leucine rich repeat containing 47 	protein_coding	4.18361266250751	8.56591274326799	5.46507258085998	5.40375134812867
ENSG00000116198	7876	CEP104	centrosomal protein 104 	protein_coding	2.92833582722312	3.59955571891984	3.51611357461832	3.79840341844847
ENSG00000169598	3870	DFFB	DNA fragmentation factor subunit beta 	protein_coding	0.722711622489041	0.528845698988871	0.738693685111485	0.465030729710806
ENSG00000198912	4388	C1orf174	chromosome 1 open reading frame 174 	protein_coding	3.64541528130444	3.6163624109299	3.99305815304958	3.56409218383661
ENSG00000236423	4064	LINC01134	long intergenic non-protein coding RNA 1134 	lincRNA	0.167393956517171	0.370540293096609	0.293058639325023	0.142485839578161
ENSG00000196581	12405	AJAP1	adherens junctions associated protein 1 	protein_coding	0.0610678774666225	0.00801382609168565	0.000547419666156385	0.00132259252040081
ENSG00000131697	13167	NPHP4	nephrocystin 4 	protein_coding	0.331101755355014	0.525044785647096	0.286659921659652	0.159634875801427
ENSG00000069424	9534	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 	protein_coding	0.263887799407048	0.316459330801546	0.281037747972424	0.15729298213972
ENSG00000116251	4682	RPL22	ribosomal protein L22 	protein_coding	71.9530802265982	60.3594208365893	49.2948810231503	59.8901987656415
ENSG00000158286	6585	RNF207	ring finger protein 207 	protein_coding	0.212304424125178	0.119589209568902	0.228249365882871	0.0872409407070858
ENSG00000116237	4910	ICMT	isoprenylcysteine carboxyl methyltransferase 	protein_coding	34.5172950060787	37.0622236673431	25.2456890883773	21.6178581704503
ENSG00000225077	2358	LINC00337	long intergenic non-protein coding RNA 337 	lincRNA	0.0167823702300007	0.0534815163036021	0.0629392108240119	0.0829776171725618
ENSG00000158292	4082	GPR153	G protein-coupled receptor 153 	protein_coding	2.49529413266534	2.73550482964198	2.54458250926424	1.14051241341563
ENSG00000097021	4124	ACOT7	acyl-CoA thioesterase 7 	protein_coding	0.85110251306007	1.80083618035386	1.39864590780947	1.01148990020506
ENSG00000069812	5407	HES2	hes family bHLH transcription factor 2 	protein_coding	0.0203078761953901	0.0248402925960694	0.0945796342257089	0.0333424600470076
ENSG00000215788	4283	TNFRSF25	TNF receptor superfamily member 25 	protein_coding	0.17793913992274	0.0708205314970046	0.122355668024668	0.041630196852772
ENSG00000171680	7053	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5 	protein_coding	0.255052766591179	0.372332175316802	0.22022461760582	0.0919198250799026
ENSG00000162408	7293	NOL9	nucleolar protein 9 	protein_coding	4.97450386190204	5.41172031082266	4.70944837441326	4.9674131763983
ENSG00000173662	2892	TAS1R1	taste 1 receptor member 1 	protein_coding	0.0271896930527713	0.0836124548347471	0.0376529284699761	0.0662689884944575
ENSG00000204859	4503	ZBTB48	zinc finger and BTB domain containing 48 	protein_coding	0.819273749970477	1.3346446240414	1.05617448537071	0.479156165384872
ENSG00000162413	6901	KLHL21	kelch like family member 21 	protein_coding	4.807532511172	9.82154264009564	8.33866768173507	5.00584294427562
ENSG00000116273	3681	PHF13	PHD finger protein 13 	protein_coding	8.32620633371447	7.55209391089524	8.20723230439564	6.2857833054994
ENSG00000041988	4072	THAP3	THAP domain containing 3 	protein_coding	1.06420062902223	4.83494300282783	1.79734816811518	1.5631753886365
ENSG00000007923	5083	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 	protein_coding	9.77730265693732	19.5466058042749	10.1962477268011	11.94540090522
ENSG00000171735	10033	CAMTA1	calmodulin binding transcription activator 1 	protein_coding	1.31606369598488	2.22405594936203	1.41207985283561	1.73473942403338
ENSG00000049245	2760	VAMP3	vesicle associated membrane protein 3 	protein_coding	48.8957025658315	73.1360961064648	51.9939443826796	82.3040583067167
ENSG00000269925	393	Z98884.2	novel transcript, sense intronic to VAMP3	sense_intronic	1.6826103426099	0.137683680338214	0.992253150916335	0.344605476847394
ENSG00000049246	8099	PER3	period circadian regulator 3 	protein_coding	1.23530900224472	1.9555814783569	1.48627049787337	2.14274702770323
ENSG00000116288	2397	PARK7	Parkinsonism associated deglycase 	protein_coding	69.1808528298493	142.861766269355	76.0063723106808	113.241047088524
ENSG00000284747	4116	AL034417.4	novel transcript, antisense to ERRFI1	antisense	0.0461400446973776	0.0239466584600915	0.0779120319164441	0.0237350567350498
ENSG00000116285	4186	ERRFI1	ERBB receptor feedback inhibitor 1 	protein_coding	32.6824697916034	9.62371421458181	21.1041990762688	12.1667329490323
ENSG00000162426	2888	SLC45A1	solute carrier family 45 member 1 	protein_coding	0.215143740703598	0.0744955746474287	0.157386334894147	0.0418018394507417
ENSG00000142599	11503	RERE	arginine-glutamic acid dipeptide repeats 	protein_coding	5.71787972642912	7.98553305777294	5.73593362546824	3.99466550104888
ENSG00000074800	5276	ENO1	enolase 1 	protein_coding	154.706017467559	264.268032672606	165.067658456908	180.100555733662
ENSG00000230679	456	ENO1-AS1	ENO1 antisense RNA 1 	antisense	0.140853188730332	0.807711700146911	0.212519740156667	0.587531078408444
ENSG00000142583	6693	SLC2A5	solute carrier family 2 member 5 	protein_coding	19.4071975358995	72.7593473522414	35.5092871924451	73.9181032089793
ENSG00000180758	5372	GPR157	G protein-coupled receptor 157 	protein_coding	1.24089177638911	2.07107109989717	1.43731219753832	1.73059824272927
ENSG00000228526	8702	MIR34AHG	MIR34A host gene 	lincRNA	1.36910718785291	0.465056824021541	1.09817450245989	0.465293875187668
ENSG00000234546	1662	LNCTAM34A	long non coding transcriptional activator of miR34a 	lincRNA	1.23164090646846	1.49810861861855	1.27124683036126	0.890935797001179
ENSG00000049239	9321	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase 	protein_coding	15.0954015232871	17.4461315953487	12.9285498112798	9.49258538424423
ENSG00000171621	3403	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1 	protein_coding	5.13700126210639	8.43039863520286	7.30450771272334	5.99512655956296
ENSG00000284652	1765	BX323043.1	novel transcript	lincRNA	0.166495028102711	0.39844185376091	0.324765798730358	0.491089299352396
ENSG00000284693	2623	LINC02606	long intergenic non-protein coding RNA 2606 	lincRNA	0.554397265113981	1.05857656350527	0.600069368363517	1.02416439726914
ENSG00000235263	708	AL928921.1	novel transcript	lincRNA	0.0696691337334243	0.206510634358504	0.546409657302536	0.937132422232921
ENSG00000171612	3854	SLC25A33	solute carrier family 25 member 33 	protein_coding	2.23004844861145	3.84014877414508	6.16523623733468	8.35655768821278
ENSG00000188807	6966	TMEM201	transmembrane protein 201 	protein_coding	0.452769591767173	1.41868025669978	0.665839553444348	0.391747961790307
ENSG00000171608	6332	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta 	protein_coding	0.593245840880919	0.374432550366766	0.275947636594071	0.130927386306896
ENSG00000231789	939	PIK3CD-AS2	PIK3CD antisense RNA 2 	antisense	0.223981266311783	0.322146139691762	0.126207135103352	0.123182930248017
ENSG00000171603	5683	CLSTN1	calsyntenin 1 	protein_coding	13.1018953360903	6.69026603708985	13.7316739382073	5.42630914184542
ENSG00000178585	3339	CTNNBIP1	catenin beta interacting protein 1 	protein_coding	2.85616582660701	6.78486778465277	3.23286670235865	3.86620788287312
ENSG00000162441	2794	LZIC	leucine zipper and CTNNBIP1 domain containing 	protein_coding	10.7392809037553	10.0609703498676	9.19988899629667	14.0479758625384
ENSG00000228150	440	AL357140.2	novel transcript	sense_intronic	0.274870606253377	0.775589402578061	0.383814110478338	0.499479790861062
ENSG00000173614	4610	NMNAT1	nicotinamide nucleotide adenylyltransferase 1 	protein_coding	6.43682221441006	11.7641262646513	6.4337099165928	10.2340039965095
ENSG00000130939	9128	UBE4B	ubiquitination factor E4B 	protein_coding	6.30162647568774	8.62314385992904	5.93230167734217	6.86939304924273
ENSG00000054523	17720	KIF1B	kinesin family member 1B 	protein_coding	3.96129380681393	4.22353368094003	3.30889001454712	4.72549906516516
ENSG00000284642	1477	AL139424.2	novel transcript	lincRNA	0.23003004261112	0.183275121998732	0.410712162968525	0.244732493012086
ENSG00000142657	2966	PGD	phosphogluconate dehydrogenase 	protein_coding	120.401991703748	474.790011553197	164.128946788652	237.559241760964
ENSG00000175279	1739	CENPS	centromere protein S 	protein_coding	0.266175378656548	0.2247780127833	0.278633186240437	0.364199550061126
ENSG00000160049	6622	DFFA	DNA fragmentation factor subunit alpha 	protein_coding	9.3839791851081	11.9278541383303	10.1337644538289	11.6769186968259
ENSG00000142655	2995	PEX14	peroxisomal biogenesis factor 14 	protein_coding	2.49089200506826	8.07574438744739	3.65527900781596	3.64892445473202
ENSG00000130940	11336	CASZ1	castor zinc finger 1 	protein_coding	0.00926164337825155	0.0311244569405749	0.026371945950739	0.022738910145378
ENSG00000120948	6071	TARDBP	TAR DNA binding protein 	protein_coding	13.180434451961	9.30628658448669	11.6116250889471	11.3193472300136
ENSG00000271895	870	AL109811.2	novel transcript, antisense to MASP2	antisense	1.00516338938946	0.460305142668607	0.920938391301282	0.289495196258366
ENSG00000116649	1898	SRM	spermidine synthase 	protein_coding	12.5739803628883	25.9794493118452	16.6962411331374	11.04679111115
ENSG00000171824	6003	EXOSC10	exosome component 10 	protein_coding	5.39592248991099	7.96626748342979	4.8863624942175	5.23232845028453
ENSG00000198793	12119	MTOR	mechanistic target of rapamycin kinase 	protein_coding	3.56069542099765	7.3479492036608	3.62502003881902	4.8670073085761
ENSG00000171819	2238	ANGPTL7	angiopoietin like 7 	protein_coding	0.100029340399055	0.379276681459445	0.027291458951626	0.0343206828496378
ENSG00000120942	5082	UBIAD1	UbiA prenyltransferase domain containing 1 	protein_coding	1.61648176085861	2.6044702728063	1.89561361510019	1.60079541918859
ENSG00000132879	3527	FBXO44	F-box protein 44 	protein_coding	1.5284601671002	4.50542121980189	1.49106440860953	1.31578151755946
ENSG00000116663	1811	FBXO6	F-box protein 6 	protein_coding	0.845695400201735	4.37856305989112	1.75552810210624	2.01313950082312
ENSG00000116670	3324	MAD2L2	mitotic arrest deficient 2 like 2 	protein_coding	1.15071962166217	2.8878603897052	1.39200224516478	1.11702105257772
ENSG00000177674	2435	AGTRAP	angiotensin II receptor associated protein 	protein_coding	2.46971041009625	7.72411045404597	3.24515856366296	2.28143214834354
ENSG00000215910	6499	C1orf167	chromosome 1 open reading frame 167 	protein_coding	0.0338986086262563	0.0700053990274519	0.0426081158004636	0.021978308287533
ENSG00000177000	11978	MTHFR	methylenetetrahydrofolate reductase 	protein_coding	1.28799337285761	2.59372432149657	1.5707598481168	1.20263359783232
ENSG00000011021	8174	CLCN6	chloride voltage-gated channel 6 	protein_coding	2.15744686689155	3.16559907168115	2.80210600427281	1.99623294043933
ENSG00000116685	3281	KIAA2013	KIAA2013 	protein_coding	4.33934822168328	8.60736579478644	5.98402222886084	3.77037222565946
ENSG00000083444	5320	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 	protein_coding	33.1162615142674	39.981101036956	39.5901419213483	19.4802655604078
ENSG00000116688	4973	MFN2	mitofusin 2 	protein_coding	23.639283027934	54.7224166815731	26.8243330124221	34.1312005274037
ENSG00000116691	2821	MIIP	migration and invasion inhibitory protein 	protein_coding	0.805156125002274	3.60788427333301	1.48890616013462	1.04308133992242
ENSG00000028137	3766	TNFRSF1B	TNF receptor superfamily member 1B 	protein_coding	2.0764070939994	0.758994040983458	0.909790833119987	0.546565820564241
ENSG00000048707	20768	VPS13D	vacuolar protein sorting 13 homolog D 	protein_coding	2.64058078570848	3.66425305972223	2.15617339856685	3.39780294831343
ENSG00000229484	438	AC243836.1	novel transcript	lincRNA	0.114035899814527	0.812629469594328	0.385502092552233	0.286561229729603
ENSG00000162496	3036	DHRS3	dehydrogenase/reductase 3 	protein_coding	16.4955801147322	47.7505697785268	24.4401864850203	44.1525271643363
ENSG00000272482	345	AC254633.1	novel transcript	lincRNA	1.21760048280005	2.21809021063137	1.50483350025168	1.42802129721619
ENSG00000188984	4049	AADACL3	arylacetamide deacetylase like 3 	protein_coding	0.0273838913146116	0.0424273256427352	0.0300209726595147	0.0487489027147635
ENSG00000157330	4118	C1orf158	chromosome 1 open reading frame 158 	protein_coding	0.0532546311996008	0.03691022670635	0.129598924952042	0.0744431401517723
ENSG00000162493	3707	PDPN	podoplanin 	protein_coding	2.62181993382781	0.658118772159999	0.30051180004135	0.213894325300236
ENSG00000116731	10923	PRDM2	PR/SET domain 2 	protein_coding	3.89472132475861	2.75077943864739	2.89715785152092	2.76740485994076
ENSG00000189337	13841	KAZN	kazrin, periplakin interacting protein 	protein_coding	1.16264818897726	1.77340073541997	1.52110937889189	1.26879730072237
ENSG00000171729	2240	TMEM51	transmembrane protein 51 	protein_coding	0.158773962742094	0.133252304968119	0.182680597028825	0.114693105730111
ENSG00000142621	12805	FHAD1	forkhead associated phosphopeptide binding domain 1 	protein_coding	0.114925168360583	0.0215278625583417	0.0137500397087926	0.0144771850371713
ENSG00000142634	2531	EFHD2	EF-hand domain family member D2 	protein_coding	2.01107880270148	3.18179972426662	2.17387280839607	1.40986767082752
ENSG00000132906	5269	CASP9	caspase 9 	protein_coding	1.00578103393331	1.65471670763708	1.441514598403	1.23001097542545
ENSG00000116138	8563	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16 	protein_coding	2.84367066230529	2.43827707563015	2.622823491947	2.65589215628814
ENSG00000116771	2500	AGMAT	agmatinase 	protein_coding	0.887086612233099	1.43601270169032	0.722013389195058	1.24964252515669
ENSG00000197312	12136	DDI2	DNA damage inducible 1 homolog 2 	protein_coding	6.07758174798464	5.74339593751639	5.55465611251635	6.72638488612835
ENSG00000116786	4122	PLEKHM2	pleckstrin homology and RUN domain containing M2 	protein_coding	8.22321462077608	22.6588632665302	9.67719790903816	6.1362278894899
ENSG00000162461	3195	SLC25A34	solute carrier family 25 member 34 	protein_coding	0.162237302612761	0.0952329528890384	0.16241046352774	0.0528964959883379
ENSG00000162458	4716	FBLIM1	filamin binding LIM protein 1 	protein_coding	4.64600747613254	5.82511712696614	5.7804250017168	3.59191880903062
ENSG00000233954	2180	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like 	protein_coding	0.645800975082787	1.59239368062335	0.821900678361743	1.55542830427038
ENSG00000178715	438	AL450998.1	ribosomal protein S16 (RPS16) pseudogene	processed_pseudogene	0.458708470929655	1.40086368387455	0.00387811215056521	0.0124809324411811
ENSG00000179743	2473	FLJ37453	uncharacterized LOC729614 	antisense	0.215409839510449	0.583260559574344	0.369015061166608	0.309717638611963
ENSG00000065526	13294	SPEN	spen family transcriptional repressor 	protein_coding	3.98349174805607	3.51943306702032	3.29841417604775	3.10224249807278
ENSG00000116809	4240	ZBTB17	zinc finger and BTB domain containing 17 	protein_coding	1.04190248638899	3.13224824618676	1.33061746106906	0.837232691623773
ENSG00000173641	3910	HSPB7	heat shock protein family B (small) member 7 	protein_coding	20.7885848161935	8.65618251780223	33.1055491298207	25.1027621471618
